"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"49"	"MT-2_1"	"MT-2_1"	"40"	"2"	"2"	"1"	"0.041958041958042"	"9.15267861500979e-12"	"0.0332442743982644"	"0.0506718095178195"
"50"	"MT-2_1"	"MT-2_2"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"51"	"MT-2_1"	"MT-4_1"	"40"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"52"	"MT-2_1"	"MT-4_2"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"53"	"MT-2_2"	"MT-2_1"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"54"	"MT-2_2"	"MT-2_2"	"40"	"1"	"1"	"1"	"0.0789210789210789"	"0.000638848857153818"	"0.062190191312976"	"0.0956519665291818"
"55"	"MT-2_2"	"MT-4_1"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"56"	"MT-2_2"	"MT-4_2"	"40"	"1"	"1"	"1"	"0.034965034965035"	"1.51320534769184e-07"	"0.0235661450098396"	"0.0463639249202303"
"57"	"MT-4_1"	"MT-2_1"	"40"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"58"	"MT-4_1"	"MT-2_2"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"59"	"MT-4_1"	"MT-4_1"	"40"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"60"	"MT-4_1"	"MT-4_2"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"61"	"MT-4_2"	"MT-2_1"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"62"	"MT-4_2"	"MT-2_2"	"40"	"1"	"1"	"1"	"0.037962037962038"	"4.86456265269553e-07"	"0.0261031240196805"	"0.0498209519043954"
"63"	"MT-4_2"	"MT-4_1"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"64"	"MT-4_2"	"MT-4_2"	"40"	"1"	"1"	"1"	"0.482517482517482"	"0.300631152801074"	"0.4515091494059"	"0.513525815629065"
"65"	"MT-2_1"	"MT-2_1"	"50"	"4"	"4"	"1"	"0.02997002997003"	"0"	"0.0246072654184515"	"0.0353327945216085"
"66"	"MT-2_1"	"MT-2_2"	"50"	"6"	"1"	"0.166666666666667"	"0.00166500166500167"	"0"	"0.000636451324063182"	"0.00269355200594015"
"67"	"MT-2_1"	"MT-4_1"	"50"	"5"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"68"	"MT-2_1"	"MT-4_2"	"50"	"6"	"0"	"0"	"0.00116550116550117"	"0.933154855991309"	"0.000303652650926948"	"0.00202734968007538"
"69"	"MT-2_2"	"MT-2_1"	"50"	"6"	"1"	"0.166666666666667"	"0.000832500832500833"	"0"	"0.000103373470024945"	"0.00156162819497672"
"70"	"MT-2_2"	"MT-2_2"	"50"	"3"	"3"	"1"	"0.0273060273060273"	"0"	"0.0215585541514021"	"0.0330535004606525"
"71"	"MT-2_2"	"MT-4_1"	"50"	"3"	"1"	"0.333333333333333"	"0.00432900432900433"	"0"	"0.00198710151010882"	"0.00667090714789984"
"72"	"MT-2_2"	"MT-4_2"	"50"	"4"	"1"	"0.25"	"0.004995004995005"	"2.55839793794621e-12"	"0.00282415664491137"	"0.00716585334509862"
"73"	"MT-4_1"	"MT-2_1"	"50"	"5"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"74"	"MT-4_1"	"MT-2_2"	"50"	"3"	"1"	"0.333333333333333"	"0.00166500166500167"	"0"	"0.00020674694004989"	"0.00312325638995344"
"75"	"MT-4_1"	"MT-4_1"	"50"	"1"	"1"	"1"	"0.0999000999000999"	"0.00269832066572273"	"0.081291985339984"	"0.118508214460216"
"76"	"MT-4_1"	"MT-4_2"	"50"	"2"	"1"	"0.5"	"0.0204795204795205"	"1.32178893075263e-06"	"0.0143300527779624"	"0.0266289881810786"
"77"	"MT-4_2"	"MT-2_1"	"50"	"6"	"0"	"0"	"0.000832500832500833"	"0.943543301911741"	"0.000103373470024945"	"0.00156162819497672"
"78"	"MT-4_2"	"MT-2_2"	"50"	"4"	"1"	"0.25"	"0.0044955044955045"	"1.50990331349021e-13"	"0.00243395865714212"	"0.00655705033386687"
"79"	"MT-4_2"	"MT-4_1"	"50"	"2"	"1"	"0.5"	"0.013986013986014"	"3.8162351057025e-09"	"0.00886983869677085"	"0.0191021892752571"
"80"	"MT-4_2"	"MT-4_2"	"50"	"2"	"2"	"1"	"0.182817182817183"	"0.00173189151688957"	"0.166638119073744"	"0.198996246560622"
"81"	"MT-2_1"	"MT-2_1"	"60"	"5"	"5"	"1"	"0.0421578421578422"	"0"	"0.0368292457925959"	"0.0474864385230884"
"82"	"MT-2_1"	"MT-2_2"	"60"	"8"	"2"	"0.25"	"0.0044955044955045"	"0"	"0.00305117960487385"	"0.00593982938613514"
"83"	"MT-2_1"	"MT-4_1"	"60"	"7"	"0"	"0"	"0.000285428856857428"	"0.964329390446898"	"-0.000110429372304702"	"0.000681287086019558"
"84"	"MT-2_1"	"MT-4_2"	"60"	"7"	"0"	"0"	"0.000570857713714857"	"0.949520457987501"	"1.15903064775131e-05"	"0.0011301251209522"
"85"	"MT-2_2"	"MT-2_1"	"60"	"8"	"2"	"0.25"	"0.00287212787212787"	"0"	"0.0017099212811562"	"0.00403433446309954"
"86"	"MT-2_2"	"MT-2_2"	"60"	"5"	"5"	"1"	"0.0401598401598402"	"0"	"0.0345757951108094"	"0.0457438852088709"
"87"	"MT-2_2"	"MT-4_1"	"60"	"6"	"1"	"0.166666666666667"	"0.00316350316350316"	"6.69242439244044e-13"	"0.00175219689794983"	"0.0045748094290565"
"88"	"MT-2_2"	"MT-4_2"	"60"	"6"	"1"	"0.166666666666667"	"0.00183150183150183"	"0"	"0.000753293545333476"	"0.00290971011767019"
"89"	"MT-4_1"	"MT-2_1"	"60"	"7"	"0"	"0"	"0.000285428856857428"	"0.964329390446898"	"-0.000110429372304702"	"0.000681287086019558"
"90"	"MT-4_1"	"MT-2_2"	"60"	"6"	"1"	"0.166666666666667"	"0.00216450216450216"	"0"	"0.000993550755054411"	"0.00333545357394992"
"91"	"MT-4_1"	"MT-4_1"	"60"	"2"	"2"	"1"	"0.045954045954046"	"4.07107680899799e-11"	"0.0369903764544711"	"0.0549177154536208"
"92"	"MT-4_1"	"MT-4_2"	"60"	"3"	"1"	"0.333333333333333"	"0.00632700632700633"	"6.69242439244044e-13"	"0.00350439379589966"	"0.00914961885811299"
"93"	"MT-4_2"	"MT-2_1"	"60"	"7"	"0"	"0"	"0.000570857713714857"	"0.949520457987501"	"1.15903064775131e-05"	"0.0011301251209522"
"94"	"MT-4_2"	"MT-2_2"	"60"	"6"	"1"	"0.166666666666667"	"0.002997002997003"	"2.54507526165071e-12"	"0.00154697047457554"	"0.00444703551943046"
"95"	"MT-4_2"	"MT-4_1"	"60"	"3"	"1"	"0.333333333333333"	"0.002997002997003"	"0"	"0.00104448155576437"	"0.00494952443824162"
"96"	"MT-4_2"	"MT-4_2"	"60"	"2"	"2"	"1"	"0.123376623376623"	"0.000112289028030954"	"0.109299452541152"	"0.137453794212094"
"97"	"MT-2_1"	"MT-2_1"	"70"	"7"	"7"	"1"	"0.0643642072213501"	"0"	"0.0588892820684365"	"0.0698391323742637"
"98"	"MT-2_1"	"MT-2_2"	"70"	"13"	"2"	"0.153846153846154"	"0.00268961807423346"	"0"	"0.00178719350415398"	"0.00359204264431294"
"99"	"MT-2_1"	"MT-4_1"	"70"	"11"	"0"	"0"	"0.00118063754427391"	"0.908722106002926"	"0.000541936775484224"	"0.00181933831306359"
"100"	"MT-2_1"	"MT-4_2"	"70"	"9"	"0"	"0"	"0.000222000222000222"	"0.964329390446898"	"-8.58895117925458e-05"	"0.00052988995579299"
"101"	"MT-2_2"	"MT-2_1"	"70"	"13"	"2"	"0.153846153846154"	"0.00315069545838777"	"0"	"0.00220462350430191"	"0.00409676741247362"
"102"	"MT-2_2"	"MT-2_2"	"70"	"8"	"8"	"1"	"0.0430819180819181"	"0"	"0.0386955433564096"	"0.0474682928074265"
"103"	"MT-2_2"	"MT-4_1"	"70"	"9"	"3"	"0.333333333333333"	"0.001998001998002"	"0"	"0.00108175940317428"	"0.00291424459282972"
"104"	"MT-2_2"	"MT-4_2"	"70"	"8"	"2"	"0.25"	"0.000999000999000999"	"0"	"0.000308332567049721"	"0.00168966943095228"
"105"	"MT-4_1"	"MT-2_1"	"70"	"11"	"0"	"0"	"0.00136227408954682"	"0.901885937928855"	"0.000676894168009469"	"0.00204765401108416"
"106"	"MT-4_1"	"MT-2_2"	"70"	"9"	"3"	"0.333333333333333"	"0.001998001998002"	"0"	"0.00103131364971703"	"0.00296469034628697"
"107"	"MT-4_1"	"MT-4_1"	"70"	"4"	"4"	"1"	"0.0394605394605395"	"0"	"0.0333941650673942"	"0.0455269138536847"
"108"	"MT-4_1"	"MT-4_2"	"70"	"4"	"2"	"0.5"	"0.00174825174825175"	"0"	"0.000455478976390422"	"0.00304102452011307"
"109"	"MT-4_2"	"MT-2_1"	"70"	"9"	"0"	"0"	"0.000666000666000666"	"0.9381341133085"	"0.00013378870373836"	"0.00119821262826297"
"110"	"MT-4_2"	"MT-2_2"	"70"	"8"	"2"	"0.25"	"0.000624375624375624"	"0"	"7.75301025187086e-05"	"0.00117122114623254"
"111"	"MT-4_2"	"MT-4_1"	"70"	"4"	"2"	"0.5"	"0.00174825174825175"	"0"	"0.000455478976390422"	"0.00304102452011307"
"112"	"MT-4_2"	"MT-4_2"	"70"	"2"	"2"	"1"	"0.0529470529470529"	"2.42239250880516e-09"	"0.0431023207550037"	"0.0627917851391021"
"113"	"MT-2_1"	"MT-2_1"	"80"	"10"	"10"	"1"	"0.0732267732267732"	"0"	"0.0684294657801395"	"0.078024080673407"
"114"	"MT-2_1"	"MT-2_2"	"80"	"17"	"2"	"0.117647058823529"	"0.00352588587882706"	"7.99360577730113e-15"	"0.00261447773961983"	"0.00443729401803428"
"115"	"MT-2_1"	"MT-4_1"	"80"	"13"	"1"	"0.0769230769230769"	"0.00146007838315531"	"6.69242439244044e-13"	"0.000808706260592229"	"0.00211145050571838"
"116"	"MT-2_1"	"MT-4_2"	"80"	"11"	"1"	"0.0909090909090909"	"0.00136227408954682"	"4.44089209850063e-16"	"0.000676894168009469"	"0.00204765401108416"
"117"	"MT-2_2"	"MT-2_1"	"80"	"17"	"2"	"0.117647058823529"	"0.00423106305459247"	"9.00834962180852e-13"	"0.00324651493859271"	"0.00521561117059222"
"118"	"MT-2_2"	"MT-2_2"	"80"	"9"	"9"	"1"	"0.0418470418470418"	"0"	"0.0377524572686151"	"0.0459416264254686"
"119"	"MT-2_2"	"MT-4_1"	"80"	"10"	"3"	"0.3"	"0.0021978021978022"	"0"	"0.00128800904924929"	"0.00310759534635511"
"120"	"MT-2_2"	"MT-4_2"	"80"	"9"	"2"	"0.222222222222222"	"0.000888000888000888"	"0"	"0.000274073392933086"	"0.00150192838306869"
"121"	"MT-4_1"	"MT-2_1"	"80"	"13"	"1"	"0.0769230769230769"	"0.00107584722969338"	"0"	"0.00051529095603729"	"0.00163640350334948"
"122"	"MT-4_1"	"MT-2_2"	"80"	"10"	"3"	"0.3"	"0.0016983016983017"	"0"	"0.000896509205687429"	"0.00250009419091597"
"123"	"MT-4_1"	"MT-4_1"	"80"	"4"	"4"	"1"	"0.0357142857142857"	"0"	"0.0296974478535256"	"0.0417311235750458"
"124"	"MT-4_1"	"MT-4_2"	"80"	"4"	"2"	"0.5"	"0.0014985014985015"	"0"	"0.000301024583411309"	"0.00269597841359169"
"125"	"MT-4_2"	"MT-2_1"	"80"	"11"	"1"	"0.0909090909090909"	"0.00118063754427391"	"0"	"0.000541936775484224"	"0.00181933831306359"
"126"	"MT-4_2"	"MT-2_2"	"80"	"9"	"2"	"0.222222222222222"	"0.000555000555000555"	"0"	"6.89156466832965e-05"	"0.00104108546331781"
"127"	"MT-4_2"	"MT-4_1"	"80"	"4"	"2"	"0.5"	"0.00324675324675325"	"0"	"0.00149032613258162"	"0.00500318036092488"
"128"	"MT-4_2"	"MT-4_2"	"80"	"2"	"2"	"1"	"0.0404595404595405"	"3.89555054880475e-12"	"0.0318851523760279"	"0.049033928543053"
"129"	"MT-2_1"	"MT-2_1"	"90"	"14"	"14"	"1"	"0.0859854431283003"	"0"	"0.0815277462606328"	"0.0904431399959677"
"130"	"MT-2_1"	"MT-2_2"	"90"	"21"	"3"	"0.142857142857143"	"0.003996003996004"	"0"	"0.0031556757534959"	"0.00483633223851209"
"131"	"MT-2_1"	"MT-4_1"	"90"	"18"	"1"	"0.0555555555555556"	"0.00177600177600178"	"3.79595681554434e-08"	"0.00116953872255051"	"0.00238246482945304"
"132"	"MT-2_1"	"MT-4_2"	"90"	"15"	"3"	"0.2"	"0.001998001998002"	"0"	"0.00129262879175101"	"0.00270337520425298"
"133"	"MT-2_2"	"MT-2_1"	"90"	"21"	"3"	"0.142857142857143"	"0.00456686170971885"	"0"	"0.00365752164249698"	"0.00547620177694073"
"134"	"MT-2_2"	"MT-2_2"	"90"	"10"	"10"	"1"	"0.0432567432567433"	"0"	"0.0393948171159316"	"0.047118669397555"
"135"	"MT-2_2"	"MT-4_1"	"90"	"12"	"3"	"0.25"	"0.00224775224775225"	"0"	"0.00140999134197127"	"0.00308551315353323"
"136"	"MT-2_2"	"MT-4_2"	"90"	"12"	"2"	"0.166666666666667"	"0.00133200133200133"	"0"	"0.000683461229077306"	"0.00198054143492536"
"137"	"MT-4_1"	"MT-2_1"	"90"	"18"	"1"	"0.0555555555555556"	"0.00188700188700189"	"9.80169549968934e-08"	"0.00126251954011071"	"0.00251148423389306"
"138"	"MT-4_1"	"MT-2_2"	"90"	"12"	"3"	"0.25"	"0.00191475191475191"	"0"	"0.00110620296701751"	"0.00272330086248632"
"139"	"MT-4_1"	"MT-4_1"	"90"	"5"	"5"	"1"	"0.0297702297702298"	"0"	"0.0251483901202117"	"0.0343920694202478"
"140"	"MT-4_1"	"MT-4_2"	"90"	"7"	"2"	"0.285714285714286"	"0.001998001998002"	"0"	"0.000956968918354967"	"0.00303903507764903"
"141"	"MT-4_2"	"MT-2_1"	"90"	"15"	"3"	"0.2"	"0.00253080253080253"	"0"	"0.00171887014343401"	"0.00334273491817105"
"142"	"MT-4_2"	"MT-2_2"	"90"	"12"	"2"	"0.166666666666667"	"0.000999000999000999"	"0"	"0.000436209539360654"	"0.00156179245864134"
"143"	"MT-4_2"	"MT-4_1"	"90"	"7"	"2"	"0.285714285714286"	"0.00214071642643071"	"0"	"0.00106369083544345"	"0.00321774201741797"
"144"	"MT-4_2"	"MT-4_2"	"90"	"4"	"4"	"1"	"0.018981018981019"	"0"	"0.0146998799843479"	"0.0232621579776901"
"145"	"MT-2_1"	"MT-2_1"	"100"	"15"	"15"	"1"	"0.0786546786546787"	"0"	"0.0745662771333252"	"0.0827430801760321"
"146"	"MT-2_1"	"MT-2_2"	"100"	"27"	"2"	"0.0740740740740741"	"0.00462500462500463"	"1.18764746703803e-07"	"0.00381156419013314"	"0.00543844505987611"
"147"	"MT-2_1"	"MT-4_1"	"100"	"20"	"1"	"0.05"	"0.0022977022977023"	"5.26020132607385e-06"	"0.00164803563523845"	"0.00294736896016615"
"148"	"MT-2_1"	"MT-4_2"	"100"	"18"	"2"	"0.111111111111111"	"0.0024975024975025"	"0"	"0.00178316627386452"	"0.00321183872114047"
