"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"49"	"MT-2_1"	"MT-2_1"	"40"	"2"	"2"	"1"	"0.047952047952048"	"1.65916169692082e-10"	"0.0387110922334588"	"0.0571930036706371"
"50"	"MT-2_1"	"MT-2_2"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"51"	"MT-2_1"	"MT-4_1"	"40"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"52"	"MT-2_1"	"MT-4_2"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"53"	"MT-2_2"	"MT-2_1"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"54"	"MT-2_2"	"MT-2_2"	"40"	"1"	"1"	"1"	"0.0619380619380619"	"0.000100354125685209"	"0.0469802311298192"	"0.0768958927463047"
"55"	"MT-2_2"	"MT-4_1"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"56"	"MT-2_2"	"MT-4_2"	"40"	"1"	"1"	"1"	"0.033966033966034"	"9.80169549968934e-08"	"0.0227253517219928"	"0.0452067162100751"
"57"	"MT-4_1"	"MT-2_1"	"40"	"2"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"58"	"MT-4_1"	"MT-2_2"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"59"	"MT-4_1"	"MT-4_1"	"40"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"60"	"MT-4_1"	"MT-4_2"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"61"	"MT-4_2"	"MT-2_1"	"40"	"3"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"62"	"MT-4_2"	"MT-2_2"	"40"	"1"	"1"	"1"	"0.026973026973027"	"1.93503213452573e-09"	"0.0169198961036552"	"0.0370261578423988"
"63"	"MT-4_2"	"MT-4_1"	"40"	"1"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"64"	"MT-4_2"	"MT-4_2"	"40"	"1"	"1"	"1"	"0.508491508491508"	"0.325771079160809"	"0.477468678121468"	"0.539514338861549"
"65"	"MT-2_1"	"MT-2_1"	"50"	"4"	"4"	"1"	"0.037962037962038"	"0"	"0.0320186220251512"	"0.0439054538989247"
"66"	"MT-2_1"	"MT-2_2"	"50"	"6"	"1"	"0.166666666666667"	"0.00166500166500167"	"0"	"0.000636451324063182"	"0.00269355200594015"
"67"	"MT-2_1"	"MT-4_1"	"50"	"5"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"68"	"MT-2_1"	"MT-4_2"	"50"	"6"	"0"	"0"	"0.00116550116550117"	"0.933154855991309"	"0.000303652650926948"	"0.00202734968007538"
"69"	"MT-2_2"	"MT-2_1"	"50"	"6"	"1"	"0.166666666666667"	"0.000999000999000999"	"0"	"0.00020068305560754"	"0.00179731894239446"
"70"	"MT-2_2"	"MT-2_2"	"50"	"3"	"3"	"1"	"0.0366300366300366"	"0"	"0.0300299656028859"	"0.0432301076571874"
"71"	"MT-2_2"	"MT-4_1"	"50"	"3"	"1"	"0.333333333333333"	"0.00166500166500167"	"0"	"0.00020674694004989"	"0.00312325638995344"
"72"	"MT-2_2"	"MT-4_2"	"50"	"4"	"1"	"0.25"	"0.00524475524475524"	"8.61732907253554e-12"	"0.0030214316879042"	"0.00746807880160629"
"73"	"MT-4_1"	"MT-2_1"	"50"	"5"	"0"	"0"	"0"	"NaN"	"NaN"	"NaN"
"74"	"MT-4_1"	"MT-2_2"	"50"	"3"	"1"	"0.333333333333333"	"0.00266400266400266"	"0"	"0.000822220178799257"	"0.00450578514920607"
"75"	"MT-4_1"	"MT-4_1"	"50"	"1"	"1"	"1"	"0.112887112887113"	"0.00508050655379466"	"0.0932496363003458"	"0.13252458947388"
"76"	"MT-4_1"	"MT-4_2"	"50"	"2"	"1"	"0.5"	"0.0174825174825175"	"1.51320534769184e-07"	"0.0117830725049198"	"0.0231819624601152"
"77"	"MT-4_2"	"MT-2_1"	"50"	"6"	"0"	"0"	"0.000832500832500833"	"0.943543301911741"	"0.000103373470024945"	"0.00156162819497672"
"78"	"MT-4_2"	"MT-2_2"	"50"	"4"	"1"	"0.25"	"0.0044955044955045"	"1.50990331349021e-13"	"0.00243395865714212"	"0.00655705033386687"
