"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"73"	"MT-4_1"	"MT-2_1"	50	0	0	NA	NA	NA	NA	NA
"74"	"MT-4_1"	"MT-2_2"	50	0	0	NA	NA	NA	NA	NA
"75"	"MT-4_1"	"MT-4_1"	50	0	0	NA	NA	NA	NA	NA
"76"	"MT-4_1"	"MT-4_2"	50	0	0	NA	NA	NA	NA	NA
"77"	"MT-4_2"	"MT-2_1"	50	0	0	NA	NA	NA	NA	NA
"78"	"MT-4_2"	"MT-2_2"	50	0	0	NA	NA	NA	NA	NA
"79"	"MT-4_2"	"MT-4_1"	50	0	0	NA	NA	NA	NA	NA
"80"	"MT-4_2"	"MT-4_2"	50	0	0	NA	NA	NA	NA	NA
"81"	"MT-2_1"	"MT-2_1"	60	0	0	NA	NA	NA	NA	NA
"82"	"MT-2_1"	"MT-2_2"	60	1	0	0	0	NA	NA	NA
"83"	"MT-2_1"	"MT-4_1"	60	0	0	NA	NA	NA	NA	NA
"84"	"MT-2_1"	"MT-4_2"	60	0	0	NA	NA	NA	NA	NA
"85"	"MT-2_2"	"MT-2_1"	60	1	0	0	0	NA	NA	NA
"86"	"MT-2_2"	"MT-2_2"	60	1	1	1	0.014985014985015	4.44089209850063e-16	0.00744583584810416	0.0225241941219258
"87"	"MT-2_2"	"MT-4_1"	60	1	0	0	0	NA	NA	NA
"88"	"MT-2_2"	"MT-4_2"	60	1	0	0	0	NA	NA	NA
"89"	"MT-4_1"	"MT-2_1"	60	0	0	NA	NA	NA	NA	NA
"90"	"MT-4_1"	"MT-2_2"	60	1	0	0	0	NA	NA	NA
"91"	"MT-4_1"	"MT-4_1"	60	0	0	NA	NA	NA	NA	NA
"92"	"MT-4_1"	"MT-4_2"	60	0	0	NA	NA	NA	NA	NA
"93"	"MT-4_2"	"MT-2_1"	60	0	0	NA	NA	NA	NA	NA
"94"	"MT-4_2"	"MT-2_2"	60	1	0	0	0	NA	NA	NA
"95"	"MT-4_2"	"MT-4_1"	60	0	0	NA	NA	NA	NA	NA
"96"	"MT-4_2"	"MT-4_2"	60	0	0	NA	NA	NA	NA	NA
"97"	"MT-2_1"	"MT-2_1"	70	0	0	NA	NA	NA	NA	NA
"98"	"MT-2_1"	"MT-2_2"	70	1	0	0	0	NA	NA	NA
"99"	"MT-2_1"	"MT-4_1"	70	0	0	NA	NA	NA	NA	NA
"100"	"MT-2_1"	"MT-4_2"	70	0	0	NA	NA	NA	NA	NA
"101"	"MT-2_2"	"MT-2_1"	70	1	0	0	0	NA	NA	NA
"102"	"MT-2_2"	"MT-2_2"	70	1	1	1	0.018981018981019	6.69242439244044e-13	0.010513181387699	0.027448856574339
"103"	"MT-2_2"	"MT-4_1"	70	1	0	0	0	NA	NA	NA
"104"	"MT-2_2"	"MT-4_2"	70	1	0	0	0	NA	NA	NA
"105"	"MT-4_1"	"MT-2_1"	70	0	0	NA	NA	NA	NA	NA
"106"	"MT-4_1"	"MT-2_2"	70	1	0	0	0	NA	NA	NA
"107"	"MT-4_1"	"MT-4_1"	70	0	0	NA	NA	NA	NA	NA
"108"	"MT-4_1"	"MT-4_2"	70	0	0	NA	NA	NA	NA	NA
"109"	"MT-4_2"	"MT-2_1"	70	0	0	NA	NA	NA	NA	NA
"110"	"MT-4_2"	"MT-2_2"	70	1	0	0	0	NA	NA	NA
"111"	"MT-4_2"	"MT-4_1"	70	0	0	NA	NA	NA	NA	NA
"112"	"MT-4_2"	"MT-4_2"	70	0	0	NA	NA	NA	NA	NA
"113"	"MT-2_1"	"MT-2_1"	80	2	2	1	0.0304695304695305	1.77635683940025e-15	0.0229187634614532	0.0380202974776077
"114"	"MT-2_1"	"MT-2_2"	80	4	0	0	0	NA	NA	NA
"115"	"MT-2_1"	"MT-4_1"	80	2	0	0	0	NA	NA	NA
"116"	"MT-2_1"	"MT-4_2"	80	2	0	0	0	NA	NA	NA
"117"	"MT-2_2"	"MT-2_1"	80	4	0	0	0.0004995004995005	0.964329390446898	-0.000193251401533228	0.00119225240053423
"118"	"MT-2_2"	"MT-2_2"	80	2	2	1	0.0284715284715285	6.66133814775094e-16	0.0210187368784778	0.0359243200645791
