value
1	2650
2	2773
3	913
4	56
5	383
6	4618
7	6857
8	1474
9	4891
10	676
11	468
12	735
13	1058
14	167
15	330
16	1589
17	1977
18	843
19	1220
20	63
21	566
22	10557
23	1758
24	1498
25	2904
26	1156
27	314
28	501
29	660
30	1090
31	1283
32	1155
33	1859
34	275
35	572
36	3260
37	811
38	252
39	1099
40	440
41	606
42	2369
43	3033
44	168
45	7297
46	923
47	1985
48	1731
49	614
50	4664
51	154
52	2039
53	5930
54	991
55	2016
56	1592
57	426
58	363
59	220
60	1703
61	6610
62	11051
63	3361
64	133
65	720
66	720
67	4838
68	2775
69	560
70	387
71	3445
72	6235
73	67
74	1521
75	12157
76	4092
77	1991
78	349
79	1292
80	3895
81	1152
82	51
83	210
84	2859
85	193
86	1224
87	2684
88	1216
89	1563
90	580
91	1315
92	5211
93	1349
94	2180
95	791
96	2281
97	2557
98	254
99	3332
100	193
101	151
102	2301
103	582
104	1198
105	2537
106	262
107	534
108	949
109	4763
110	4329
111	3554
112	5153
113	3360
114	290
115	100
116	2280
117	2774
118	1048
119	3926
120	869
121	3224
122	5960
123	654
124	6203
125	418
126	733
127	4526
128	795
129	2276
130	1324
131	4216
132	2707
133	519
134	3081
135	5615
136	1990
137	1355
138	2528
139	5797
140	1211
141	454
142	2361
143	1896
144	424
145	3947
146	1967
147	8021
148	4060
149	1886
150	1431
151	2829
152	1483
153	1398
154	480
155	408
156	2331
157	2180
158	614
159	1543
160	840
161	4853
162	1575
163	780
164	5012
165	1140
166	294
167	1776
168	96
169	160
170	497
171	2904
172	1796
173	5804
174	158
175	879
176	802
177	1618
178	1510
179	642
180	777
181	1849
182	2563
183	10478
184	4344
185	4078
186	1052
187	1125
188	3854
189	755
190	9537
191	405
192	748
193	5252
194	68
195	1298
196	1764
197	808
198	1689
199	899
200	1702
201	850
202	549
203	2394
204	6726
205	317
206	128
207	846
208	1179
209	307
210	942
211	1055
212	1224
213	445
214	525
215	602
216	3176
217	6582
218	699
219	2971
220	1723
221	1514
222	7874
223	777
224	1247
225	1600
226	3724
227	2666
228	1469
229	727
230	856
231	4971
232	1576
233	1180
234	842
235	1564
236	224
237	51
238	1261
239	1598
240	493
241	2802
242	954
243	1244
244	2751
245	1887
246	3650
247	655
248	426
249	727
250	4000
251	3094
252	210
253	11356
254	1081
255	3236
256	1645
257	609
258	5471
259	4185
260	897
261	1066
262	75
263	5636
264	1371
265	276
266	4773
267	295
268	482
269	3503
270	2951
271	4413
272	2632
273	3794
274	2159
275	42
276	227
277	170
278	618
279	112
280	2613
281	696
282	7149
283	310
284	527
285	161
286	4331
287	137
288	182
289	784
290	396
291	789
292	1223
293	2327
294	2728
295	1429
296	4148
297	2605
298	5660
299	5556
300	116
301	1075
302	4405
303	3432
304	5403
305	6775
306	5436
307	823
308	7218
309	3329
310	1268
311	402
312	82
313	487
314	2834
315	152
316	4858
317	2847
318	282
319	1554
320	941
321	1449
322	915
323	6381
324	2486
325	719
326	1112
327	656
328	198
329	5902
330	397
331	1542
332	1347
333	138
334	428
335	337
336	1313
337	4962
338	312
339	1435
340	1481
341	3408
342	806
343	100
344	805
345	1819
346	1846
347	1064
348	2029
349	2606
350	283
351	4709
352	1625
353	1026
354	194
355	2224
356	2576
357	964
358	3532
359	4807
360	2598
361	1149
362	459
363	3359
364	1535
365	897
366	730
367	2016
368	134
369	2072
370	1166
371	6565
372	2558
373	78
374	3119
375	821
376	817
377	1874
378	1384
379	285
380	919
381	1962
382	431
383	373
384	267
385	7802
386	4230
387	1224
388	759
389	1949
390	5108
391	687
392	6038
393	4139
394	475
395	1711
396	4224
397	1724
398	2141
399	1529
400	331
401	3974
402	1091
403	1417
404	607
405	593
406	2296
407	3271
408	1043
409	346
410	1690
411	721
412	277
413	869
414	614
415	1528
416	1682
417	400
418	3798
419	1770
420	1350
421	1142
422	4490
423	1417
424	182
425	513
426	83
427	1867
428	1326
429	2192
430	679
431	809
432	2090
433	1053
434	151
435	1127
436	3094
437	282
438	953
439	1684
440	585
441	1439
442	2162
443	1430
444	591
445	734
446	6160
447	2993
448	3205
449	4376
450	1120
451	1210
452	5864
453	3862
454	2089
455	37
456	2634
457	2850
458	1003
459	5182
460	2669
461	511
462	563
463	5293
464	97
465	409
466	3621
467	3518
468	2032
469	2725
470	874
471	960
472	174
473	384
474	3889
475	341
476	4958
477	1405
478	5726
479	3431
480	909
481	5614
482	282
483	2183
484	3945
485	1610
486	5783
487	663
488	1161
489	9258
490	266
491	1481
492	964
493	826
494	3027
495	1808
496	2537
497	3104
498	2847
499	2612
500	3141
501	5758
502	841
503	1990
504	62
505	550
506	2878
507	2565
508	1161
509	5603
510	5062
511	3700
512	1673
513	151
514	6089
515	838
516	594
517	273
518	913
519	551
520	357
521	8110
522	4961
523	2048
524	4165
525	2031
526	5138
527	3660
528	1533
529	6824
530	5019
531	1439
532	4147
533	555
534	940
535	715
536	10247
537	895
538	2582
539	443
540	2776
541	1846
542	699
543	3373
544	2411
545	3778
546	4210
547	2467
548	1875
549	921
550	1333
551	1129
552	2037
553	7374
554	980
555	11816
556	3559
557	522
558	3916
559	2187
560	38
561	2310
562	863
563	61
564	2145
565	2479
566	2003
567	1858
568	4143
569	817
570	2715
571	602
572	635
573	197
574	1957
575	924
576	1352
577	332
578	2702
579	2688
580	1382
581	1025
582	215
583	437
584	677
585	4506
586	1318
587	873
588	286
589	2239
590	2688
591	3869
592	602
593	5487
594	267
595	1347
596	4245
597	884
598	1546
599	5020
600	4641
601	112
602	835
603	4464
604	8452
605	660
606	2521
607	626
608	1293
609	1167
610	462
611	1060
612	2227
613	1412
614	194
615	1139
616	2550
617	1548
618	697
619	794
620	895
621	127
622	791
623	1772
624	4961
625	337
626	1963
627	5120
628	278
629	2469
630	762
631	424
632	6770
633	231
634	1940
635	254
636	443
637	176
638	828
639	1339
640	1195
641	135
642	684
643	628
644	154
645	867
646	407
647	4106
648	1623
649	789
650	3195
651	931
652	262
653	910
654	151
655	2106
656	3724
657	1358
658	871
659	1262
660	6790
661	1090
662	533
663	163
664	433
665	699
666	1292
667	740
668	1174
669	4650
670	195
671	1470
672	1064
673	283
674	1654
675	5780
676	3098
677	432
678	131
679	12570
680	2459
681	7608
682	425
683	2387
684	1140
685	3152
686	193
687	665
688	2616
689	5208
690	669
691	1853
692	6069
693	650
694	258
695	951
696	2785
697	2776
698	1569
699	1981
700	1667
701	1501
702	4256
703	2736
704	1658
705	12577
706	392
707	1464
708	70
709	349
710	1798
711	694
712	2451
713	6962
714	585
715	90
716	2924
717	2820
718	4208
719	1903
720	2521
721	2904
722	1955
723	2289
724	676
725	194
726	2431
727	29
728	1773
729	6568
730	4318
731	548
732	1175
733	889
734	1297
735	423
736	1077
737	4123
738	6878
739	6164
740	363
741	186
742	1883
743	133
744	2784
745	4609
746	612
747	1426
748	4296
749	6822
750	1731
751	2161
752	69
753	1476
754	1746
755	814
756	1821
757	1615
758	970
759	257
760	2159
761	3607
762	4711
763	5070
764	868
765	6318
766	700
767	2510
768	714
769	2144
770	6154
771	845
772	5562
773	1987
774	416
775	229
776	2127
777	3300
778	1917
779	1467
780	891
781	3299
782	6443
783	1136
784	3721
785	344
786	1398
787	437
788	4542
789	2620
790	2837
791	1121
792	1741
793	1072
794	4489
795	7345
796	769
797	1535
798	151
799	646
800	1849
801	2252
802	1132
803	110
804	466
805	2750
806	6659
807	914
808	682
809	170
810	870
811	385
812	1771
813	79
814	3337
815	1469
816	357
817	5188
818	2862
819	918
820	1236
821	1467
822	2850
823	1301
824	648
825	2152
826	46
827	1115
828	3317
829	4470
830	794
831	1485
832	494
833	3025
834	1231
835	4194
836	909
837	2765
838	8287
839	454
840	1802
841	527
842	1703
843	3195
844	814
845	2123
846	1376
847	1929
848	2994
849	615
850	2333
851	2658
852	1356
853	1554
854	5198
855	3543
856	146
857	2894
858	172
859	736
860	3022
861	2466
862	1118
863	2803
864	1442
865	785
866	1190
867	405
868	1343
869	276
870	1495
871	4188
872	964
873	835
874	3725
875	1710
876	5916
877	2387
878	2990
879	2990
880	6228
881	1041
882	640
883	6507
884	15364
885	678
886	1779
887	4563
888	1188
889	2270
890	2693
891	2112
892	3720
893	1780
894	642
895	408
896	1542
897	30
898	1439
899	849
900	3399
901	2552
902	3681
903	191
904	106
905	762
906	1444
907	839
908	4827
909	232
910	1037
911	2202
912	170
913	1478
914	547
915	798
916	1407
917	540
918	81
919	2278
920	383
921	3802
922	2867
923	225
924	2925
925	419
926	2547
927	121
928	1842
929	1176
930	276
931	3415
932	1214
933	2182
934	5342
935	3194
936	3772
937	1117
938	6544
939	2044
940	797
941	4327
942	1163
943	5642
944	514
945	1070
946	6048
947	2549
948	3808
949	186
950	1619
951	2203
952	2258
953	1336
954	1983
955	841
956	4750
957	11284
958	2543
959	305
960	3476
961	2668
962	1458
963	1841
964	894
965	602
966	2120
967	2926
968	1041
969	4587
970	639
971	481
972	2633
973	465
974	5624
975	873
976	1193
977	379
978	1610
979	2280
980	6290
981	4986
982	2390
983	824
984	4300
985	247
986	969
987	362
988	355
989	380
990	1044
991	2302
992	3782
993	1129
994	603
995	766
996	3615
997	307
998	2848
999	150
1000	3897
