project,organism,organism_subtype,sample_source,full_sample_name,virus_line_no,cell_line_no,exp_no,transfer_no,ngs_date,ngs_instrument,ngs_technology,sample_set_no,sample_date,amplicon,forward_name,reverse_name,extra_base_uuid,base_uuid,used,paired_sample,included
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP230seq28102019,17,2,IV,230,28.10.2019,Illumina MiSeq 2,2x250bp,5,15.07.2019,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20191028_VPIV_190_240_Cultures17_20\17MT2EXP4VP230seq28102019_S5_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20191028_VPIV_190_240_Cultures17_20\17MT2EXP4VP230seq28102019_S5_L001_R2_001.fastq.gz,5d8e234a-6342-4a8c-8a97-9d837d79095c,9db56be6-371c-418b-898e-4898ea12fb64,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP240seq28102019,17,2,IV,240,28.10.2019,Illumina MiSeq 2,2x250bp,6,19.08.2019,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20191028_VPIV_190_240_Cultures17_20\17MT2EXP4VP240seq28102019_S6_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20191028_VPIV_190_240_Cultures17_20\17MT2EXP4VP240seq28102019_S6_L001_R2_001.fastq.gz,bf38e8ff-1e9b-48fb-ad7f-5665d854b5a4,1ae99755-a21d-431b-b470-149482e7fdb1,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP250seq27082020,17,2,IV,250,27.08.2020,Illumina MiSeq 2,2x250bp,1,23.09.2019,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP250seq27082020_S1_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP250seq27082020_S1_L001_R2_001.fastq.gz,a73afd8b-0895-4d3d-bd50-7f7f77a857a1,fe481f18-2e5c-4f56-8b6d-cbad1519eb6e,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP260seq27082020,17,2,IV,260,27.08.2020,Illumina MiSeq 2,2x250bp,2,28.10.2019,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP260seq27082020_S2_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP260seq27082020_S2_L001_R2_001.fastq.gz,c92a3b91-f42d-4073-9159-21243a812ab7,f00fd774-97da-40be-9227-6a09408d88c0,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP270seq27082020,17,2,IV,270,27.08.2020,Illumina MiSeq 2,2x250bp,3,02.12.2019,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP270seq27082020_S3_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP270seq27082020_S3_L001_R2_001.fastq.gz,f9a28e8f-a9ec-44ba-aa92-31e2988665e2,b61500b0-65dc-4d43-a606-651300da698d,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP280seq27082020,17,2,IV,280,27.08.2020,Illumina MiSeq 2,2x250bp,4,06.01.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP280seq27082020_S4_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP280seq27082020_S4_L001_R2_001.fastq.gz,324efc34-6cd3-47a4-8cb1-3d255c338780,b6ddb40c-df1c-4c28-b043-7dafa6adc23f,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP290seq27082020,17,2,IV,290,27.08.2020,Illumina MiSeq 2,2x250bp,5,17.02.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP290seq27082020_S5_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP290seq27082020_S5_L001_R2_001.fastq.gz,f3abe5d9-3428-4a4b-b3b8-bf53a0ac3386,8af590a2-655e-4c57-949f-deef01d5da17,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP300seq27082020,17,2,IV,300,27.08.2020,Illumina MiSeq 2,2x250bp,6,23.03.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP300seq27082020_S6_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20200827_VPIV_250_300_Cultures17_20/17MT2EXP4VP300seq27082020_S6_L001_R2_001.fastq.gz,5fd74e32-1d0f-49ec-9512-0e94a77413e7,c5cb569a-4208-4ab7-87e1-a835d42e5eff,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP310seq15102020,17,2,IV,310,15.10.2020,Illumina MiSeq 2,2x250bp,1,13.07.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP310seq15102020_S13_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP310seq15102020_S13_L001_R2_001.fastq.gz,df175525-205f-4f09-9dec-24028a24c7ae,54697ed0-03ed-4a47-8319-443ee2cb6018,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP320seq15102020,17,2,IV,320,15.10.2020,Illumina MiSeq 2,2x250bp,2,17.08.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP320seq15102020_S14_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP320seq15102020_S14_L001_R2_001.fastq.gz,fbf6299e-6c00-41fc-9f7a-6ccdb0416354,239ddf06-19c0-48a5-93a0-deee29d677a3,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP330seq15102020,17,2,IV,330,15.10.2020,Illumina MiSeq 2,2x250bp,3,21.09.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP330seq15102020_S15_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20201015_VPIII_IV_310_330_Cultures13_20/17MT2EXP4VP330seq15102020_S15_L001_R2_001.fastq.gz,2babcdd2-6d76-4375-8a79-b37ed5b9217b,0482fc3f-dd50-4db0-8b0b-2fe46f144217,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP340seq16072021,17,2,IV,340,16.07.2021,Illumina MiSeq 2,2x250bp,1,26.10.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP340seq16072021_S1_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP340seq16072021_S1_L001_R2_001.fastq.gz,7aedefaf-b6bb-4ab6-ba12-83d6f36d77ff,be0ca662-b2e6-4f34-9f86-102c3cb7d277,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP350seq16072021,17,2,IV,350,16.07.2021,Illumina MiSeq 2,2x250bp,2,30.11.2020,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP350seq16072021_S2_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP350seq16072021_S2_L001_R2_001.fastq.gz,bd234cda-a8cd-4aa7-a85b-b635d1a51b4e,d07535f1-01e6-445d-a959-aa23cf5aee09,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP360seq16072021,17,2,IV,360,16.07.2021,Illumina MiSeq 2,2x250bp,3,04.01.2021,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP360seq16072021_S3_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP360seq16072021_S3_L001_R2_001.fastq.gz,b6780149-7ddd-4f46-b9dc-14d9c2cdf4cc,8edb58fe-0274-4af3-848f-759b4fe6fcf0,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP370seq16072021,17,2,IV,370,16.07.2021,Illumina MiSeq 2,2x250bp,4,08.02.2021,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP370seq16072021_S4_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP370seq16072021_S4_L001_R2_001.fastq.gz,13d2c14b-ca4c-44f8-9ed7-bbbf787c427b,4d57d759-9acc-4ac9-a355-e85d1f9d3a6c,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP380seq16072021,17,2,IV,380,16.07.2021,Illumina MiSeq 2,2x250bp,5,15.03.2021,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP380seq16072021_S5_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP380seq16072021_S5_L001_R2_001.fastq.gz,9864413f-1558-44a9-9c0f-ed983952e5a1,3ece020d-f2f6-43d2-be12-98f8eee45f83,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP390seq16072021,17,2,IV,390,16.07.2021,Illumina MiSeq 2,2x250bp,6,19.04.2021,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP390seq16072021_S6_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20210716_VPIV_340_390_Cultures17_20/17MT2EXP4VP390seq16072021_S6_L001_R2_001.fastq.gz,7655eae6-bce4-4afc-97c0-89fdb4960c15,9eaff7b3-ad3a-477b-9856-6020f6f61aaa,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,17MT2EXPIVVP400seq03062022-KN,17,2,IV,400,03.06.2022,Illumina MiSeq 2,2x250bp,1,25.05.2021,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20220603_VPIII_IV_400_420_Cultures13_20/17MT2EXP4VP400seq03062022-KN_S13_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20220603_VPIII_IV_400_420_Cultures13_20/17MT2EXP4VP400seq03062022-KN_S13_L001_R2_001.fastq.gz,36e5c71c-12b6-4c88-93cf-7bf9c8452ae6,92f888cd-f9fd-4ffe-b06b-b90b7504cefe,T,NA,TRUE
