exp_line	passage	MOI	btk_size
MT-2_1	10	0.000533152075558768	213.260830223507
MT-2_1	20	0.00121573871091643	486.295484366573
MT-2_1	30	0.000233854200784088	93.5416803136353
MT-2_1	40	0.000533152075558768	213.260830223507
MT-2_1	50	0.000701726729686348	280.690691874539
MT-2_1	60	0.000923626769979889	369.450707991955
MT-2_1	70	0.00121573871091643	486.295484366573
MT-2_1	80	0.000177685776931333	71.0743107725332
MT-2_1	90	0.0027734435155816	1109.37740623264
MT-2_1	100	0.00639410226345116	2557.64090538046
MT-2_1	200	0.00216576622500185	866.306490000739
MT-2_1	300	0.00369259934254178	1477.03973701671
MT-2_1	400	0.00159310298566668	637.241194266671
MT-2_1	500	0.0043273405014045	1730.9362005618
MT-2_2	10	0.000307780812344164	123.112324937666
MT-2_2	20	0.0027734435155816	1109.37740623264
MT-2_2	30	0.00210665918023723	842.66367209489
MT-2_2	40	0.000923626769979889	369.450707991955
MT-2_2	50	0.00121573871091643	486.295484366573
MT-2_2	60	0.00160030973857691	640.123895430765
MT-2_2	70	0.0048086327422652	1923.45309690608
MT-2_2	80	0.000533152075558768	213.260830223507
MT-2_2	90	0.00160030973857691	640.123895430765
MT-2_2	100	0.00727640897077618	2910.56358831047
MT-2_2	200	0.00261496571778891	1045.98628711556
MT-2_2	300	0.00192220064970869	768.880259883477
MT-2_2	400	0.00159310298566668	637.241194266671
MT-2_2	500	0.00369259934254178	1477.03973701671
MT-4_1	10	0.000102583079027092	41.0332316108367
MT-4_1	20	0.00121573871091643	486.295484366573
MT-4_1	30	0.000923626769979889	369.450707991955
MT-4_1	40	0.00633333850926797	2533.33540370719
MT-4_1	50	0.000701726729686348	280.690691874539
MT-4_1	60	0.00210665918023723	842.66367209489
MT-4_1	70	0.00121573871091643	486.295484366573
MT-4_1	80	0.000405082034650092	162.032813860037
MT-4_1	90	0.00160030973857691	640.123895430765
MT-4_1	100	0.00153092291064492	612.369164257968
MT-4_1	200	0.0025632824031648	1025.31296126592
MT-4_1	300	0.0105190685123461	4207.62740493843
MT-4_1	400	0.0105190685123461	4207.62740493843
MT-4_1	500	0.014907017307765	5962.80692310599
MT-4_2	10	7.79453239984578e-05	31.1781295993831
MT-4_2	20	0.000701726729686348	280.690691874539
MT-4_2	30	0.00210665918023723	842.66367209489
MT-4_2	40	0.0048086327422652	1923.45309690608
MT-4_2	50	0.000923626769979889	369.450707991955
MT-4_2	60	0.0027734435155816	1109.37740623264
MT-4_2	70	0.00633333850926797	2533.33540370719
MT-4_2	80	0.000923626769979889	369.450707991955
MT-4_2	90	0.00121573871091643	486.295484366573
MT-4_2	100	0.00306424024340462	1225.69609736185
MT-4_2	200	0.00727640897077618	2910.56358831047
MT-4_2	300	0.0247933744862996	9917.34979451985
MT-4_2	400	0.00511304938682301	2045.21975472921
MT-4_2	500	0.00904409221041864	3617.63688416746
